,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,player
22,NY,F,"6'8""",240,5/29/1984, Carmelo  Anthony,32.9199178645,Carmelo,Anthony,C. AnthonyC. Anthony
23,DET,F/C,"6'9""",245,8/09/1982, Joel  Anthony,34.7241615332,Joel,Anthony,J. AnthonyJ. Anthony
24,ATL,C,"6'11""",265,7/29/1982, Pero  Antic,34.7542778919,Pero,Antic,P. AnticP. Antic
25,FA,PG,"6'1""",185,2/13/1992, Keith  Appling,25.2101300479,Keith,Appling,K. ApplingK. Appling
26,HOU,G/F,"6'8""",220,6/30/1985, Trevor  Ariza,31.832991102,Trevor,Ariza,T. ArizaT. Ariza
27,FA,F/C,"6'11""",235,11/23/1984, Hilton  Armstrong,32.4325804244,Hilton,Armstrong,H. ArmstrongH. Armstrong
28,DEN,F/C,"6'9""",235,3/25/1988, Darrell  Arthur,29.0978781656,Darrell,Arthur,D. ArthurD. Arthur
29,NO,F/C,"7'0""",255,7/04/1986, Omer  Asik,30.8227241615,Omer,Asik,O. AsikO. Asik
30,OKC,PG,"6'0""",183,11/10/1987, D.J.  Augustin,29.4702258727,D.J.,Augustin,D. AugustinD. Augustin
31,FA,F/C,"6'10""",250,4/01/1985, Gustavo  Ayon,32.0793976728,Gustavo,Ayon,G. AyonG. Ayon
32,SA,F/C,"6'9""",250,4/29/1987, Jeff  Ayres,30.0041067762,Jeff,Ayres,J. AyresJ. Ayres
33,BOS,SG,"6'5""",225,2/14/1990, Chris  Babb,27.2060232717,Chris,Babb,C. BabbC. Babb
34,NO,SF,"6'9""",217,6/20/1989, Luke  Babbitt,27.8603696099,Luke,Babbitt,L. BabbittL. Babbitt
35,CHI,F/C,"6'9""",250,12/07/1990, Cameron  Bairstow,26.3956194387,Cameron,Bairstow,C. BairstowC. Bairstow
36,GS,G,"6'3""",194,11/28/1982, Leandro  Barbosa,34.4202600958,Leandro,Barbosa,L. BarbosaL. Barbosa
37,DAL,G,"6'0""",183,6/26/1984, J.J.  Barea,32.8432580424,J.J.,Barea,J. BareaJ. Barea
38,NY,F/C,"7'0""",250,10/26/1985, Andrea  Bargnani,31.5099247091,Andrea,Bargnani,A. BargnaniA. Bargnani
39,GS,F,"6'8""",225,5/30/1992, Harrison  Barnes,24.9171800137,Harrison,Barnes,H. BarnesH. Barnes
40,CHA,SF,"6'7""",226,3/09/1980, Matt  Barnes,37.1416837782,Matt,Barnes,M. BarnesM. Barnes
41,PHX,F/C,"7'0""",250,8/14/1981, Earl  Barron,35.7097878166,Earl,Barron,E. BarronE. Barron
42,DEN,G/F,"6'6""",185,1/06/1991, Will  Barton,26.3134839151,Will,Barton,W. BartonW. Barton
43,BOS,F/C,"6'8""",250,4/30/1985, Brandon  Bass,32.0,Brandon,Bass,B. BassB. Bass
44,FA,G/F,"6'8""",220,9/09/1978, Shane  Battier,38.6392881588,Shane,Battier,S. BattierS. Battier
45,FA,PF,"6'9""",245,6/06/1991, Kadeem  Batts,25.9000684463,Kadeem,Batts,K. BattsK. Batts
46,POR,G/F,"6'8""",225,12/14/1988, Nicolas  Batum,28.3750855578,Nicolas,Batum,N. BatumN. Batum
47,FA,F,"6'11""",220,6/05/1984, Edin  Bavcic,32.900752909,Edin,Bavcic,E. BavcicE. Bavcic
48,MIL,G,"6'3""",200,8/20/1988, Jerryd  Bayless,28.6926762491,Jerryd,Bayless,J. BaylessJ. Bayless
49,SA,C,"6'10""",255,12/09/1986, Aron  Baynes,30.3901437372,Aron,Baynes,A. BaynesA. Baynes
50,ATL,G/F,"6'5""",201,7/01/1989, Kent  Bazemore,27.8302532512,Kent,Bazemore,K. BazemoreK. Bazemore
51,WSH,SG,"6'5""",207,6/28/1993, Bradley  Beal,23.8384668036,Bradley,Beal,B. BealB. Beal
52,MIA,F,"6'10""",235,1/09/1989, Michael  Beasley,28.3039014374,Michael,Beasley,M. BeasleyM. Beasley
53,SA,G/F,"6'5""",215,3/25/1986, Marco  Belinelli,31.099247091,Marco,Belinelli,M. BelinelliM. Belinelli
54,UTA,PF,"6'8""",245,8/01/1991, Jerrelle  Benimon,25.7467488022,Jerrelle,Benimon,J. BenimonJ. Benimon
55,MIN,F,"6'8""",245,3/14/1993, Anthony  Bennett,24.128678987,Anthony,Bennett,A. BennettA. Bennett
56,HOU,G,"6'1""",185,7/12/1988, Patrick  Beverley,28.7994524298,Patrick,Beverley,P. BeverleyP. Beverley
57,SAC,C,"7'5""",360,12/02/1992, Sim  Bhullar,24.4079397673,Sim,Bhullar,S. BhullarS. Bhullar
58,FA,G,"6'3""",210,9/25/1976, Chauncey  Billups,40.5941136208,Chauncey,Billups,C. BillupsC. Billups
59,FA,PF,"6'10""",215,9/28/1992, Khem  Birch,24.5859000684,Khem,Birch,K. BirchK. Birch
60,CHA,C,"6'9""",245,8/28/1992, Bismack  Biyombo,24.6707734428,Bismack,Biyombo,B. BiyomboB. Biyombo
61,LAL,F/C,"6'11""",250,11/22/1991, Tarik  Black,25.4373716632,Tarik,Black,T. BlackT. Black
62,WSH,F/C,"6'7""",260,4/22/1989, DeJuan  Blair,28.0219028063,DeJuan,Blair,D. BlairD. Blair
63,POR,G,"6'3""",175,2/26/1980, Steve  Blake,37.1745379877,Steve,Blake,S. BlakeS. Blake
64,FA,F/C,"6'11""",260,8/22/1986, Andray  Blatche,30.688569473,Andray,Blatche,A. BlatcheA. Blatche
65,PHX,G,"6'1""",190,12/09/1989, Eric  Bledsoe,27.3894592745,Eric,Bledsoe,E. BledsoeE. Bledsoe
66,LAL,PG,"6'5""",200,7/17/1992, Vander  Blue,24.7857631759,Vander,Blue,V. BlueV. Blue
67,FA,G/F,"6'5""",215,5/12/1980, Keith  Bogans,36.9664613279,Keith,Bogans,K. BogansK. Bogans
68,FA,SG,"6'6""",200,8/18/1992, Bogdan  Bogdanovic,24.6981519507,Bogdan,Bogdanovic,B. BogdanovicB. Bogdanovic
69,BKN,G/F,"6'8""",216,4/18/1989, Bojan  Bogdanovic,28.0328542094,Bojan,Bogdanovic,B. BogdanovicB. Bogdanovic
70,GS,C,"7'0""",260,11/28/1984, Andrew  Bogut,32.4188911704,Andrew,Bogut,A. BogutA. Bogut
71,SA,F/C,"6'10""",235,4/05/1980, Matt  Bonner,37.067761807,Matt,Bonner,M. BonnerM. Bonner
72,UTA,PF,"6'8""",230,11/25/1987, Trevor  Booker,29.4291581109,Trevor,Booker,T. BookerT. Booker
73,LAL,F/C,"6'9""",258,11/20/1981, Carlos  Boozer,35.4414784394,Carlos,Boozer,C. BoozerC. Boozer
74,MIA,F/C,"6'11""",235,3/24/1984, Chris  Bosh,33.1006160164,Chris,Bosh,C. BoshC. Bosh
75,FA,PG,"6'2""",176,10/12/1989, Dee  Bost,27.5482546201,Dee,Bost,D. BostD. Bost
76,FA,SF,"6'5""",230,5/12/1987, Josh  Bostic,29.9685147159,Josh,Bostic,J. BosticJ. Bostic
77,BOS,G,"6'2""",195,11/26/1990, Avery  Bradley,26.4257357974,Avery,Bradley,A. BradleyA. Bradley
78,ATL,F/C,"6'9""",254,3/11/1979, Elton  Brand,38.1382614648,Elton,Brand,E. BrandE. Brand
79,HOU,G/F,"6'9""",185,3/05/1986, Corey  Brewer,31.1540041068,Corey,Brewer,C. BrewerC. Brewer
80,FA,G/F,"6'7""",235,3/20/1985, Ronnie  Brewer,32.1122518823,Ronnie,Brewer,R. BrewerR. Brewer
81,CHI,PG,"6'0""",161,1/14/1985, Aaron  Brooks,32.2902121834,Aaron,Brooks,A. BrooksA. Brooks
82,FA,G/F,"6'5""",200,1/26/1989, MarShon  Brooks,28.257357974,MarShon,Brooks,M. BrooksM. Brooks
83,FA,C,"7'1""",235,7/23/1992, Alec  Brown,24.7693360712,Alec,Brown,A. BrownA. Brown
84,LAL,SG,"6'5""",215,12/18/1992, Jabari  Brown,24.3641341547,Jabari,Brown,J. BrownJ. Brown
85,MIN,PG,"6'5""",186,8/26/1990, Lorenzo  Brown,26.6776180698,Lorenzo,Brown,L. BrownL. Brown
86,BKN,SG,"6'3""",190,1/29/1992, Markel  Brown,25.2511978097,Markel,Brown,M. BrownM. Brown
87,MIA,SG,"6'3""",215,11/29/1985, Shannon  Brown,31.4168377823,Shannon,Brown,S. BrownS. Brown
88,LAL,G/F,"6'6""",212,8/23/1978, Kobe  Bryant,38.6858316222,Kobe,Bryant,K. BryantK. Bryant
89,MIN,G/F,"6'7""",209,5/22/1988, Chase  Budinger,28.93908282,Chase,Budinger,C. BudingerC. Budinger
90,PHX,G/F,"6'7""",205,3/16/1991, Reggie  Bullock,26.1245722108,Reggie,Bullock,R. BullockR. Bullock
91,UTA,PG,"6'1""",185,11/12/1992, Trey  Burke,24.462696783,Trey,Burke,T. BurkeT. Burke
92,UTA,G,"6'6""",211,7/20/1991, Alec  Burks,25.7796030116,Alec,Burks,A. BurksA. Burks
93,FA,PG,"6'1""",190,7/26/1991, Deonte  Burton,25.7631759069,Deonte,Burton,D. BurtonD. Burton
94,MIL,SF,"6'7""",217,3/13/1980, Caron  Butler,37.1307323751,Caron,Butler,C. ButlerC. Butler
95,CHI,G/F,"6'7""",220,9/14/1989, Jimmy  Butler,27.6249144422,Jimmy,Butler,J. ButlerJ. Butler
96,WSH,G/F,"6'7""",220,5/23/1979, Rasual  Butler,37.9383983573,Rasual,Butler,R. ButlerR. Butler
97,LAL,PG,"6'3""",190,3/06/1989, Dwight  Buycks,28.1505817933,Dwight,Buycks,D. BuycksD. Buycks
98,FA,C,"7'0""",294,10/27/1987, Andrew  Bynum,29.5085557837,Andrew,Bynum,A. BynumA. Bynum
99,WSH,PG,"6'0""",185,1/04/1983, Will  Bynum,34.3189596167,Will,Bynum,W. BynumW. Bynum
100,TOR,SF,"6'9""",205,9/21/1995, Bruno  Caboclo,21.607118412,Bruno,Caboclo,B. CabocloB. Caboclo
101,MEM,G,"6'6""",213,2/07/1989, Nick  Calathes,28.2245037645,Nick,Calathes,N. CalathesN. Calathes
102,NY,PG,"6'3""",210,9/28/1981, Jose  Calderon,35.5865845311,Jose,Calderon,J. CalderonJ. Calderon
103,DET,SG,"6'5""",205,2/18/1993, Kentavious  Caldwell-Pope,24.1943874059,Kentavious,Caldwell-Pope,K. Caldwell-PopeK. Caldwell-Pope
104,PHI,PG,"6'0""",188,5/21/1991, Isaiah  Canaan,25.9438740589,Isaiah,Canaan,I. CanaanI. Canaan
105,HOU,PF,"6'10""",245,5/18/1994, Clint  Capela,22.9514031485,Clint,Capela,C. CapelaC. Capela
106,ATL,F,"6'8""",212,7/27/1986, DeMarre  Carroll,30.7597535934,DeMarre,Carroll,D. CarrollD. Carroll
107,MEM,G/F,"6'6""",220,1/26/1977, Vince  Carter,40.257357974,Vince,Carter,V. CarterV. Carter
108,MIL,PG,"6'6""",185,10/10/1991, Michael  Carter-Williams,25.5550992471,Michael,Carter-Williams,M. Carter-WilliamsM. Carter-Williams
109,SAC,SF,"6'9""",225,6/22/1988, Omri  Casspi,28.8542094456,Omri,Casspi,O. CasspiO. Casspi
110,MIA,G,"6'2""",190,5/19/1986, Mario  Chalmers,30.9486652977,Mario,Chalmers,M. ChalmersM. Chalmers
111,DAL,C,"7'1""",245,10/02/1982, Tyson  Chandler,34.5763175907,Tyson,Chandler,T. ChandlerT. Chandler
112,DEN,G/F,"6'8""",225,5/10/1987, Wilson  Chandler,29.9739904175,Wilson,Chandler,W. ChandlerW. Chandler
113,CLE,PG,"6'0""",185,2/08/1991, Will  Cherry,26.2231348392,Will,Cherry,W. CherryW. Cherry
114,FA,G,"6'5""",212,9/15/1986, Dionte  Christmas,30.6228610541,Dionte,Christmas,D. ChristmasD. Christmas
115,FA,PG,"6'3""",190,11/01/1992, Semaj  Christon,24.4928131417,Semaj,Christon,S. ChristonS. Christon
116,UTA,SG,"6'5""",220,6/03/1988, Patrick  Christopher,28.9062286105,Patrick,Christopher,P. ChristopherP. Christopher
117,BKN,F,"6'10""",234,1/17/1988, Earl  Clark,29.2840520192,Earl,Clark,E. ClarkE. Clark
118,DEN,G,"6'3""",180,3/07/1991, Ian  Clark,26.1492128679,Ian,Clark,I. ClarkI. Clark
119,LAL,PG,"6'5""",185,6/07/1992, Jordan  Clarkson,24.8952772074,Jordan,Clarkson,J. ClarksonJ. Clarkson
120,DEN,G/F,"6'10""",235,8/30/1988, Victor  Claver,28.6652977413,Victor,Claver,V. ClaverV. Claver
121,FA,PG,"6'4""",190,3/16/1991, Justin  Cobbs,26.1245722108,Justin,Cobbs,J. CobbsJ. Cobbs
122,NO,G,"6'2""",175,10/13/1988, Norris  Cole,28.5448323066,Norris,Cole,N. ColeN. Cole
123,FA,F/C,"7'0""",255,12/02/1978, Jason  Collins,38.4093086927,Jason,Collins,J. CollinsJ. Collins
124,SAC,PG,"6'0""",175,8/23/1987, Darren  Collison,29.6865160849,Darren,Collison,D. CollisonD. Collison
125,OKC,F/C,"6'10""",255,10/26/1980, Nick  Collison,36.5092402464,Nick,Collison,N. CollisonN. Collison
126,MEM,PG,"6'1""",175,10/11/1987, Mike  Conley,29.5523613963,Mike,Conley,M. ConleyM. Conley
127,FA,PF,"6'9""",250,12/04/1980, Brian  Cook,36.4024640657,Brian,Cook,B. CookB. Cook
128,UTA,F/C,"6'10""",250,4/04/1991, Jack  Cooley,26.0725530459,Jack,Cooley,J. CooleyJ. Cooley
129,IND,F,"6'8""",230,3/17/1984, Chris  Copeland,33.1197809719,Chris,Copeland,C. CopelandC. Copeland
130,UTA,PG,"6'1""",165,8/11/1992, Bryce  Cotton,24.7173169062,Bryce,Cotton,B. CottonB. Cotton
131,SAC,F/C,"6'11""",270,8/13/1990, DeMarcus  Cousins,26.71321013,DeMarcus,Cousins,D. CousinsD. Cousins
132,PHI,G/F,"6'9""",215,12/14/1990, Robert  Covington,26.3764544832,Robert,Covington,R. CovingtonR. Covington
133,POR,SG,"6'6""",205,4/09/1992, Allen  Crabbe,25.0568104038,Allen,Crabbe,A. CrabbeA. Crabbe
134,FA,PG,"6'2""",195,2/12/1991, Aaron  Craft,26.212183436,Aaron,Craft,A. CraftA. Craft
135,FA,SG,"6'4""",222,9/30/1992, Chris  Crawford,24.5804243669,Chris,Crawford,C. CrawfordC. Crawford
136,FA,SG,"6'5""",209,10/18/1990, Drew  Crawford,26.5325119781,Drew,Crawford,D. CrawfordD. Crawford
137,LAC,G/F,"6'5""",195,3/20/1980, Jamal  Crawford,37.1115674196,Jamal,Crawford,J. CrawfordJ. Crawford
138,FA,G,"6'4""",195,10/23/1988, Jordan  Crawford,28.5174537988,Jordan,Crawford,J. CrawfordJ. Crawford
139,BOS,F,"6'6""",228,7/06/1990, Jae  Crowder,26.81724846,Jae,Crowder,J. CrowderJ. Crowder
140,NO,F,"6'8""",221,4/22/1987, Dante  Cunningham,30.0232717317,Dante,Cunningham,D. CunninghamD. Cunningham
141,PHI,G,"6'4""",195,5/22/1991, Jared  Cunningham,25.9411362081,Jared,Cunningham,J. CunninghamJ. Cunningham
142,PHX,PG,"6'2""",185,8/23/1990, Seth  Curry,26.6858316222,Seth,Curry,S. CurryS. Curry
143,GS,G,"6'3""",190,3/14/1988, Stephen  Curry,29.1279945243,Stephen,Curry,S. CurryS. Curry
144,NY,C,"6'11""",250,5/10/1981, Samuel  Dalembert,35.9726214921,Samuel,Dalembert,S. DalembertS. Dalembert
145,FA,SG,"6'8""",195,4/13/1993, Nemanja  Dangubic,24.0465434634,Nemanja,Dangubic,N. DangubicN. Dangubic
146,FA,SF,"6'9""",195,4/15/1992, DeAndre  Daniels,25.0403832991,DeAndre,Daniels,D. DanielsD. Daniels
147,CHA,PG,"6'4""",200,7/15/1991, Troy  Daniels,25.7932922656,Troy,Daniels,T. DanielsT. Daniels
148,BOS,G/F,"6'8""",215,11/27/1987, Luigi  Datome,29.4236824093,Luigi,Datome,L. DatomeL. Datome
149,BKN,PF,"6'10""",240,7/25/1991, Brandon  Davies,25.7659137577,Brandon,Davies,B. DaviesB. Davies
150,NO,F/C,"6'10""",220,3/11/1993, Anthony  Davis,24.1368925394,Anthony,Davis,A. DavisA. Davis
151,LAL,F/C,"6'10""",240,6/05/1989, Ed  Davis,27.9014373717,Ed,Davis,E. DavisE. Davis
152,LAC,F/C,"6'9""",289,1/01/1986, Glen  Davis,31.3264887064,Glen,Davis,G. DavisG. Davis
153,FA,PF,"6'8""",215,1/22/1991, Josh  Davis,26.2696783025,Josh,Davis,J. DavisJ. Davis
154,BOS,SG,"6'4""",206,9/19/1991, Andre  Dawkins,25.6125941136,Andre,Dawkins,A. DawkinsA. Dawkins
155,ATL,F,"6'11""",220,6/05/1988, Austin  Daye,28.900752909,Austin,Daye,A. DayeA. Daye
156,FA,G,"6'5""",190,6/23/1987, Nando  De Colo,29.8535249829,Nando,De Colo,N. De ColoN. De Colo
157,ORL,C,"7'0""",245,8/12/1989, Dewayne  Dedmon,27.7152635181,Dewayne,Dedmon,D. DedmonD. Dedmon
158,FA,G/F,"6'6""",220,8/29/1982, Carlos  Delfino,34.6694045175,Carlos,Delfino,C. DelfinoC. Delfino
159,CLE,G,"6'4""",200,9/08/1990, Matthew  Dellavedova,26.6420260096,Matthew,Dellavedova,M. DellavedovaM. Dellavedova
160,MIA,F,"6'9""",220,4/16/1985, Luol  Deng,32.038329911,Luol,Deng,L. DengL. Deng
161,TOR,G/F,"6'7""",220,8/07/1989, DeMar  DeRozan,27.7289527721,DeMar,DeRozan,D. DeRozanD. DeRozan
162,SA,F/C,"6'8""",250,4/16/1982, Boris  Diaw,35.0390143737,Boris,Diaw,B. DiawB. Diaw
163,MIN,F/C,"6'11""",233,1/18/1990, Gorgui  Dieng,27.279945243,Gorgui,Dieng,G. DiengG. Dieng
164,DET,PG,"6'6""",200,4/06/1993, Spencer  Dinwiddie,24.0657084189,Spencer,Dinwiddie,S. DinwiddieS. Dinwiddie
165,HOU,F/C,"6'8""",268,12/16/1983, Joey  Dorsey,33.3716632444,Joey,Dorsey,J. DorseyJ. Dorsey
166,NO,G,"6'2""",190,3/16/1986, Toney  Douglas,31.1238877481,Toney,Douglas,T. DouglasT. Douglas
167,BOS,G/F,"6'7""",210,1/08/1987, Chris  Douglas-Roberts,30.3080082136,Chris,Douglas-Roberts,C. Douglas-RobertsC. Douglas-Roberts
168,MIA,G,"6'3""",190,5/06/1986, Goran  Dragic,30.984257358,Goran,Dragic,G. DragicG. Dragic
169,MIA,SG,"6'5""",200,6/22/1989, Zoran  Dragic,27.8548939083,Zoran,Dragic,Z. DragicZ. Dragic
170,FA,PF,"6'9""",222,1/28/1986, Tadija  Dragicevic,31.2525667351,Tadija,Dragicevic,T. DragicevicT. Dragicevic
171,PHI,PG,"6'2""",180,3/05/1990, Larry  Drew II,27.1540041068,Larry,Drew II,L. Drew IIL. Drew II
172,DET,F/C,"6'11""",279,8/10/1993, Andre  Drummond,23.7207392197,Andre,Drummond,A. DrummondA. Drummond
173,MIL,G/F,"6'7""",225,7/10/1985, Jared  Dudley,31.8056125941,Jared,Dudley,J. DudleyJ. Dudley
174,SA,F/C,"6'11""",250,4/25/1976, Tim  Duncan,41.0130047912,Tim,Duncan,T. DuncanT. Duncan
175,CHI,G/F,"6'9""",230,9/15/1980, Mike  Dunleavy,36.6214921287,Mike,Dunleavy,M. DunleavyM. Dunleavy
176,OKC,F,"6'9""",240,9/29/1988, Kevin  Durant,28.5831622177,Kevin,Durant,K. DurantK. Durant
177,NY,SF,"6'8""",219,4/17/1991, Cleanthony  Early,26.0369609856,Cleanthony,Early,C. EarlyC. Early
178,ATL,SG,"6'7""",220,10/30/1991, Jarell  Eddie,25.5003422313,Jarell,Eddie,J. EddieJ. Eddie
179,FA,SF,"6'7""",220,5/31/1987, Shane  Edwards,29.916495551,Shane,Edwards,S. EdwardsS. Edwards
180,LAL,SG,"6'4""",200,11/29/1987, Wayne  Ellington,29.4182067077,Wayne,Ellington,W. EllingtonW. Ellington
181,DAL,G,"6'3""",185,10/26/1985, Monta  Ellis,31.5099247091,Monta,Ellis,M. EllisM. Ellis
182,FA,F/C,"6'10""",260,5/02/1978, Melvin  Ely,38.9952087611,Melvin,Ely,M. ElyM. Ely
183,PHI,C,"7'0""",250,3/16/1994, Joel  Embiid,23.1238877481,Joel,Embiid,J. EmbiidJ. Embiid
184,FA,G,"6'6""",200,9/24/1988, Kim  English,28.5968514716,Kim,English,K. EnglishK. English
185,MIA,G/F,"6'7""",210,7/01/1990, James  Ennis,26.8309377139,James,Ennis,J. EnnisJ. Ennis
186,MIL,PG,"6'0""",175,8/24/1994, Tyler  Ennis,22.6830937714,Tyler,Ennis,T. EnnisT. Ennis
187,FA,F/C,"6'11""",240,6/24/1988, Micheal  Eric,28.848733744,Micheal,Eric,M. EricM. Eric
188,UTA,F,"6'9""",200,10/24/1987, Jeremy  Evans,29.5167693361,Jeremy,Evans,J. EvansJ. Evans
189,SAC,F/C,"6'8""",245,5/18/1980, Reggie  Evans,36.9500342231,Reggie,Evans,R. EvansR. Evans
190,NO,G,"6'6""",220,9/19/1989, Tyreke  Evans,27.6112251882,Tyreke,Evans,T. EvansT. Evans
191,UTA,PG,"6'6""",190,7/13/1995, Dante  Exum,21.7987679671,Dante,Exum,D. ExumD. Exum
192,GS,C,"6'11""",265,10/21/1989, Festus  Ezeli,27.523613963,Festus,Ezeli,F. EzeliF. Ezeli
193,FA,PF,"6'8""",215,9/13/1991, C.J.  Fair,25.6290212183,C.J.,Fair,C. FairC. Fair
194,DEN,F/C,"6'8""",228,11/19/1989, Kenneth  Faried,27.4442162902,Kenneth,Faried,K. FariedK. Faried
195,LAC,PG,"6'2""",180,11/30/1986, Jordan  Farmar,30.4147843943,Jordan,Farmar,J. FarmarJ. Farmar
196,BOS,C,"6'11""",260,5/05/1988, Vitor  Faverani,28.9856262834,Vitor,Faverani,V. FaveraniV. Faverani
197,UTA,F/C,"6'10""",262,7/15/1991, Derrick  Favors,25.7932922656,Derrick,Favors,D. FavorsD. Favors
198,FA,G/F,"6'6""",201,8/17/1990, Carrick  Felix,26.7022587269,Carrick,Felix,C. FelixC. Felix
199,DAL,G,"6'1""",205,6/26/1984, Raymond  Felton,32.8432580424,Raymond,Felton,R. FeltonR. Felton
200,FA,C,"7'1""",280,12/24/1986, Kyrylo  Fesenko,30.3490759754,Kyrylo,Fesenko,K. FesenkoK. Fesenko
201,TOR,G/F,"6'7""",215,6/27/1988, Landry  Fields,28.8405201916,Landry,Fields,L. FieldsL. Fields
202,FA,PG,"6'1""",210,8/09/1974, Derek  Fisher,42.7241615332,Derek,Fisher,D. FisherD. Fisher
203,ORL,SG,"6'7""",205,10/29/1992, Evan  Fournier,24.501026694,Evan,Fournier,E. FournierE. Fournier
204,DEN,G,"6'4""",213,9/24/1983, Randy  Foye,33.5989048597,Randy,Foye,R. FoyeR. Foye
205,DEN,G/F,"6'5""",191,7/21/1991, Jamaal  Franklin,25.7768651608,Jamaal,Franklin,J. FranklinJ. Franklin
206,POR,PG,"6'1""",170,11/01/1990, Tim  Frazier,26.4941820671,Tim,Frazier,T. FrazierT. Frazier
207,NO,G,"6'2""",195,2/25/1989, Jimmer  Fredette,28.1752224504,Jimmer,Fredette,J. FredetteJ. Fredette
208,POR,F/C,"6'11""",255,2/07/1987, Joel  Freeland,30.2258726899,Joel,Freeland,J. FreelandJ. Freeland
209,ORL,F/C,"6'11""",255,5/17/1983, Channing  Frye,33.954825462,Channing,Frye,C. FryeC. Frye
210,DEN,SF,"6'10""",225,8/08/1988, Danilo  Gallinari,28.7255304586,Danilo,Gallinari,D. GallinariD. Gallinari
211,NY,G,"6'2""",202,12/09/1991, Langston  Galloway,25.3908281999,Langston,Galloway,L. GallowayL. Galloway
212,HOU,G/F,"6'7""",195,12/31/1981, Francisco  Garcia,35.3292265572,Francisco,Garcia,F. GarciaF. Garcia
213,MIN,F/C,"6'11""",253,5/19/1976, Kevin  Garnett,40.9472963723,Kevin,Garnett,K. GarnettK. Garnett
214,FA,G,"6'4""",190,11/03/1988, Diante  Garrett,28.4873374401,Diante,Garrett,D. GarrettD. Garrett
215,MEM,C,"7'1""",265,1/29/1985, Marc  Gasol,32.2491444216,Marc,Gasol,M. GasolM. Gasol
216,CHI,F/C,"7'0""",250,7/06/1980, Pau  Gasol,36.8158795346,Pau,Gasol,P. GasolP. Gasol
217,SAC,F,"6'8""",230,8/17/1986, Rudy  Gay,30.7022587269,Rudy,Gay,R. GayR. Gay
218,POR,G/F,"6'6""",219,5/29/1987, Alonzo  Gee,29.9219712526,Alonzo,Gee,A. GeeA. Gee
219,FA,SF,"6'7""",230,11/12/1992, Alessandro  Gentile,24.462696783,Alessandro,Gentile,A. GentileA. Gentile
220,IND,G/F,"6'9""",225,5/02/1990, Paul  George,26.9952087611,Paul,George,P. GeorgeP. George
221,CHI,F/C,"6'9""",225,6/24/1985, Taj  Gibson,31.8494182067,Taj,Gibson,T. GibsonT. Gibson
