,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,player
29,FA,SF,"6'8""",250,10/11/1991, J.J.  Avila,25.5414099932,J.J.,Avila,J. AvilaJ. Avila
30,FA,F/C,"6'9""",250,4/29/1987, Jeff  Ayres,29.993155373,Jeff,Ayres,J. AyresJ. Ayres
31,MIA,SF,"6'9""",225,6/20/1989, Luke  Babbitt,27.8494182067,Luke,Babbitt,L. BabbittL. Babbitt
32,FA,F/C,"6'9""",260,12/07/1990, Cameron  Bairstow,26.3846680356,Cameron,Bairstow,C. BairstowC. Bairstow
33,NY,G,"6'4""",220,3/30/1993, Ron  Baker,24.0739219713,Ron,Baker,R. BakerR. Baker
34,FA,C,"6'11""",220,7/27/1997, Gracin  Bakumanya,19.7481177276,Gracin,Bakumanya,G. BakumanyaG. Bakumanya
35,MEM,PG,"6'4""",202,3/29/1996, Wade  Baldwin IV,21.0759753593,Wade,Baldwin IV,W. Baldwin IVW. Baldwin IV
36,FA,PG,"6'2""",170,7/25/1994, Anthony  Barber,22.7542778919,Anthony,Barber,A. BarberA. Barber
37,PHX,G,"6'3""",194,11/28/1982, Leandro  Barbosa,34.4093086927,Leandro,Barbosa,L. BarbosaL. Barbosa
38,DAL,G,"6'0""",185,6/26/1984, J.J.  Barea,32.8323066393,J.J.,Barea,J. BareaJ. Barea
39,DAL,F,"6'8""",225,5/30/1992, Harrison  Barnes,24.9062286105,Harrison,Barnes,H. BarnesH. Barnes
40,GS,G/F,"6'7""",226,3/09/1980, Matt  Barnes,37.1307323751,Matt,Barnes,M. BarnesM. Barnes
41,DEN,G/F,"6'6""",175,1/06/1991, Will  Barton,26.302532512,Will,Barton,W. BartonW. Barton
42,LAC,F/C,"6'8""",250,4/30/1985, Brandon  Bass,31.9890485969,Brandon,Bass,B. BassB. Bass
43,CHA,G/F,"6'8""",200,12/14/1988, Nicolas  Batum,28.3641341547,Nicolas,Batum,N. BatumN. Batum
44,PHI,G,"6'3""",210,8/20/1988, Jerryd  Bayless,28.681724846,Jerryd,Bayless,J. BaylessJ. Bayless
45,DET,C,"6'10""",260,12/09/1986, Aron  Baynes,30.379192334,Aron,Baynes,A. BaynesA. Baynes
46,ATL,G/F,"6'5""",201,7/01/1989, Kent  Bazemore,27.819301848,Kent,Bazemore,K. BazemoreK. Bazemore
47,WSH,SG,"6'5""",207,6/28/1993, Bradley  Beal,23.8275154004,Bradley,Beal,B. BealB. Beal
48,DEN,PG,"6'5""",196,11/26/1996, Malik  Beasley,20.4134154689,Malik,Beasley,M. BeasleyM. Beasley
49,MIL,F,"6'9""",235,1/09/1989, Michael  Beasley,28.2929500342,Michael,Beasley,M. BeasleyM. Beasley
50,FA,SG,"6'9""",215,3/01/1994, Beau  Beech,23.1540041068,Beau,Beech,B. BeechB. Beech
51,CHA,G/F,"6'5""",210,3/25/1986, Marco  Belinelli,31.0882956879,Marco,Belinelli,M. BelinelliM. Belinelli
52,ATL,SF,"6'6""",210,7/04/1994, DeAndre'  Bembry,22.8117727584,DeAndre',Bembry,D. BembryD. Bembry
53,PHX,PF,"7'1""",225,11/17/1997, Dragan  Bender,19.4387405886,Dragan,Bender,D. BenderD. Bender
54,BKN,F,"6'8""",235,3/14/1993, Anthony  Bennett,24.1177275838,Anthony,Bennett,A. BennettA. Bennett
55,FA,C,"6'11""",230,8/13/1988, Keith  Benson,28.7008898015,Keith,Benson,K. BensonK. Benson
56,DAL,PF,"6'9""",235,3/29/1995, Ben  Bentil,22.0780287474,Ben,Bentil,B. BentilB. Bentil
57,SA,F,"6'10""",225,11/12/1992, Davis  Bertans,24.4517453799,Davis,Bertans,D. BertansD. Bertans
58,HOU,G,"6'1""",185,7/12/1988, Patrick  Beverley,28.7885010267,Patrick,Beverley,P. BeverleyP. Beverley
59,ORL,F/C,"6'9""",255,8/28/1992, Bismack  Biyombo,24.6598220397,Bismack,Biyombo,B. BiyomboB. Biyombo
60,MIN,PF,"6'10""",225,5/09/1988, Nemanja  Bjelica,28.9637234771,Nemanja,Bjelica,N. BjelicaN. Bjelica
61,LAL,F/C,"6'9""",250,11/22/1991, Tarik  Black,25.4264202601,Tarik,Black,T. BlackT. Black
62,FA,G,"6'3""",175,2/26/1980, Steve  Blake,37.1635865845,Steve,Blake,S. BlakeS. Blake
63,PHX,G,"6'1""",190,12/09/1989, Eric  Bledsoe,27.3785078713,Eric,Bledsoe,E. BledsoeE. Bledsoe
64,WSH,G/F,"6'8""",225,4/18/1989, Bojan  Bogdanovic,28.0219028063,Bojan,Bogdanovic,B. BogdanovicB. Bogdanovic
65,CLE,C,"7'0""",260,11/28/1984, Andrew  Bogut,32.4079397673,Andrew,Bogut,A. BogutA. Bogut
66,UTA,PF,"6'9""",235,1/28/1994, Joel  Bolomboy,23.241615332,Joel,Bolomboy,J. BolomboyJ. Bolomboy
67,FA,F/C,"6'10""",235,4/05/1980, Matt  Bonner,37.0568104038,Matt,Bonner,M. BonnerM. Bonner
68,PHX,SG,"6'6""",210,10/30/1996, Devin  Booker,20.4873374401,Devin,Booker,D. BookerD. Booker
69,BKN,PF,"6'8""",228,11/25/1987, Trevor  Booker,29.4182067077,Trevor,Booker,T. BookerT. Booker
70,MIA,F/C,"6'11""",235,3/24/1984, Chris  Bosh,33.0896646133,Chris,Bosh,C. BoshC. Bosh
71,BOS,G,"6'2""",180,11/26/1990, Avery  Bradley,26.4147843943,Avery,Bradley,A. BradleyA. Bradley
72,FA,F/C,"6'9""",254,3/11/1979, Elton  Brand,38.1273100616,Elton,Brand,E. BrandE. Brand
73,LAL,G/F,"6'9""",186,3/05/1986, Corey  Brewer,31.1430527036,Corey,Brewer,C. BrewerC. Brewer
74,MIL,G,"6'5""",215,12/11/1992, Malcolm  Brogdon,24.372347707,Malcolm,Brogdon,M. BrogdonM. Brogdon
75,IND,PG,"6'0""",161,1/14/1985, Aaron  Brooks,32.2792607803,Aaron,Brooks,A. BrooksA. Brooks
76,ORL,SF,"6'7""",210,10/10/1992, Anthony  Brown,24.5420944559,Anthony,Brown,A. BrownA. Brown
77,HOU,G,"6'2""",175,9/24/1984, Bobby  Brown,32.5859000684,Bobby,Brown,B. BrownB. Brown
78,FA,SG,"6'5""",215,12/18/1992, Jabari  Brown,24.3531827515,Jabari,Brown,J. BrownJ. Brown
79,BOS,G/F,"6'7""",225,10/24/1996, Jaylen  Brown,20.5037645448,Jaylen,Brown,J. BrownJ. Brown
80,FA,PG,"6'5""",186,8/26/1990, Lorenzo  Brown,26.6666666667,Lorenzo,Brown,L. BrownL. Brown
81,FA,SG,"6'3""",185,1/29/1992, Markel  Brown,25.2402464066,Markel,Brown,M. BrownM. Brown
82,DAL,G/F,"6'7""",195,3/02/1993, Nicolas  Brussino,24.1505817933,Nicolas,Brussino,N. BrussinoN. Brussino
83,FA,G/F,"6'6""",212,8/23/1978, Kobe  Bryant,38.674880219,Kobe,Bryant,K. BryantK. Bryant
84,FA,G/F,"6'7""",209,5/22/1988, Chase  Budinger,28.9281314168,Chase,Budinger,C. BudingerC. Budinger
85,DET,G/F,"6'7""",205,3/16/1991, Reggie  Bullock,26.1136208077,Reggie,Bullock,R. BullockR. Bullock
86,WSH,PG,"6'1""",191,11/12/1992, Trey  Burke,24.4517453799,Trey,Burke,T. BurkeT. Burke
87,UTA,G,"6'6""",214,7/20/1991, Alec  Burks,25.7686516085,Alec,Burks,A. BurksA. Burks
88,FA,SF,"6'7""",217,3/13/1980, Caron  Butler,37.1197809719,Caron,Butler,C. ButlerC. Butler
89,CHI,G/F,"6'7""",231,9/14/1989, Jimmy  Butler,27.613963039,Jimmy,Butler,J. ButlerJ. Butler
90,FA,G/F,"6'7""",205,5/23/1979, Rasual  Butler,37.9274469541,Rasual,Butler,R. ButlerR. Butler
91,FA,C,"7'0""",294,10/27/1987, Andrew  Bynum,29.4976043806,Andrew,Bynum,A. BynumA. Bynum
92,FA,PG,"6'0""",185,1/04/1983, Will  Bynum,34.3080082136,Will,Bynum,W. BynumW. Bynum
93,TOR,SF,"6'9""",218,9/21/1995, Bruno  Caboclo,21.5961670089,Bruno,Caboclo,B. CabocloB. Caboclo
94,ATL,PG,"6'3""",200,9/28/1981, Jose  Calderon,35.575633128,Jose,Calderon,J. CalderonJ. Calderon
95,DET,SG,"6'5""",205,2/18/1993, Kentavious  Caldwell-Pope,24.1834360027,Kentavious,Caldwell-Pope,K. Caldwell-PopeK. Caldwell-Pope
96,CHI,PG,"6'0""",201,5/21/1991, Isaiah  Canaan,25.9329226557,Isaiah,Canaan,I. CanaanI. Canaan
97,HOU,F/C,"6'10""",240,5/18/1994, Clint  Capela,22.9404517454,Clint,Capela,C. CapelaC. Capela
98,TOR,F,"6'8""",215,7/27/1986, DeMarre  Carroll,30.7488021903,DeMarre,Carroll,D. CarrollD. Carroll
99,MEM,G/F,"6'6""",220,1/26/1977, Vince  Carter,40.2464065708,Vince,Carter,V. CarterV. Carter
100,CHI,PG,"6'6""",190,10/10/1991, Michael  Carter-Williams,25.5441478439,Michael,Carter-Williams,M. Carter-WilliamsM. Carter-Williams
101,FA,SG,"6'5""",186,2/28/1994, Alex  Caruso,23.1567419576,Alex,Caruso,A. CarusoA. Caruso
102,MIN,F,"6'9""",225,6/22/1988, Omri  Casspi,28.8432580424,Omri,Casspi,O. CasspiO. Casspi
103,SAC,F/C,"7'0""",240,8/18/1993, Willie  Cauley-Stein,23.6878850103,Willie,Cauley-Stein,W. Cauley-SteinW. Cauley-Stein
104,PHX,C,"7'1""",240,10/02/1982, Tyson  Chandler,34.5653661875,Tyson,Chandler,T. ChandlerT. Chandler
105,DEN,F,"6'8""",225,5/10/1987, Wilson  Chandler,29.9630390144,Wilson,Chandler,W. ChandlerW. Chandler
106,PHX,PF,"6'10""",230,7/02/1997, Marquese  Chriss,19.8165639973,Marquese,Chriss,M. ChrissM. Chriss
107,IND,PF,"6'9""",250,12/01/1991, Rakeem  Christmas,25.401779603,Rakeem,Christmas,R. ChristmasR. Christmas
108,OKC,PG,"6'3""",190,11/01/1992, Semaj  Christon,24.4818617385,Semaj,Christon,S. ChristonS. Christon
109,GS,G,"6'3""",175,3/07/1991, Ian  Clark,26.1382614648,Ian,Clark,I. ClarkI. Clark
110,LAL,G,"6'5""",194,6/07/1992, Jordan  Clarkson,24.8843258042,Jordan,Clarkson,J. ClarksonJ. Clarkson
111,OKC,G,"6'2""",175,10/13/1988, Norris  Cole,28.5338809035,Norris,Cole,N. ColeN. Cole
112,FA,SG,"6'6""",215,10/03/1991, Kyle  Collinsworth,25.5633127995,Kyle,Collinsworth,K. CollinsworthK. Collinsworth
113,SAC,G,"6'0""",175,8/23/1987, Darren  Collison,29.6755646817,Darren,Collison,D. CollisonD. Collison
114,OKC,F/C,"6'10""",255,10/26/1980, Nick  Collison,36.4982888433,Nick,Collison,N. CollisonN. Collison
115,MEM,PG,"6'1""",175,10/11/1987, Mike  Conley,29.5414099932,Mike,Conley,M. ConleyM. Conley
116,POR,G/F,"6'5""",210,1/06/1993, Pat  Connaughton,24.3011635866,Pat,Connaughton,P. ConnaughtonP. Connaughton
117,FA,SF,"6'6""",205,1/04/1993, Elgin  Cook,24.3066392882,Elgin,Cook,E. CookE. Cook
118,NO,PG,"6'2""",185,3/23/1993, Quinn  Cook,24.0930869268,Quinn,Cook,Q. CookQ. Cook
119,FA,PF,"6'9""",220,8/23/1991, Derek  Cooke Jr.,25.6755646817,Derek,Cooke Jr.,D. Cooke Jr.D. Cooke Jr.
120,FA,F,"6'8""",230,3/17/1984, Chris  Copeland,33.1088295688,Chris,Copeland,C. CopelandC. Copeland
121,FA,SG,"6'5""",177,11/28/1996, Isaia  Cordinier,20.4079397673,Isaia,Cordinier,I. CordinierI. Cordinier
122,FA,PF,"6'11""",220,7/26/1995, Petr  Cornelie,21.7522245038,Petr,Cornelie,P. CornelieP. Cornelie
123,FA,PF,"6'9""",245,8/05/1993, Matt  Costello,23.7234770705,Matt,Costello,M. CostelloM. Costello
124,NO,F/C,"6'11""",270,8/13/1990, DeMarcus  Cousins,26.7022587269,DeMarcus,Cousins,D. CousinsD. Cousins
125,FA,SG,"6'5""",191,3/13/1994, Isaiah  Cousins,23.1211498973,Isaiah,Cousins,I. CousinsI. Cousins
126,FA,C,"6'11""",255,12/01/1993, Jaleel  Cousins,23.4004106776,Jaleel,Cousins,J. CousinsJ. Cousins
127,PHI,F,"6'9""",225,12/14/1990, Robert  Covington,26.3655030801,Robert,Covington,R. CovingtonR. Covington
128,POR,G,"6'6""",215,4/09/1992, Allen  Crabbe,25.0458590007,Allen,Crabbe,A. CrabbeA. Crabbe
129,FA,SG,"6'4""",222,9/30/1992, Chris  Crawford,24.5694729637,Chris,Crawford,C. CrawfordC. Crawford
130,FA,SG,"6'5""",209,10/18/1990, Drew  Crawford,26.5215605749,Drew,Crawford,D. CrawfordD. Crawford
131,LAC,G/F,"6'5""",200,3/20/1980, Jamal  Crawford,37.1006160164,Jamal,Crawford,J. CrawfordJ. Crawford
132,NO,G,"6'4""",195,10/23/1988, Jordan  Crawford,28.5065023956,Jordan,Crawford,J. CrawfordJ. Crawford
133,BOS,F,"6'6""",235,7/06/1990, Jae  Crowder,26.8062970568,Jae,Crowder,J. CrowderJ. Crowder
134,NO,F,"6'8""",230,4/22/1987, Dante  Cunningham,30.0123203285,Dante,Cunningham,D. CunninghamD. Cunningham
135,DAL,G,"6'2""",185,8/23/1990, Seth  Curry,26.674880219,Seth,Curry,S. CurryS. Curry
136,GS,G,"6'3""",190,3/14/1988, Stephen  Curry,29.1170431211,Stephen,Curry,S. CurryS. Curry
137,MEM,G,"6'4""",204,7/15/1991, Troy  Daniels,25.7823408624,Troy,Daniels,T. DanielsT. Daniels
138,NO,F/C,"6'10""",253,3/11/1993, Anthony  Davis,24.1259411362,Anthony,Davis,A. DavisA. Davis
139,MEM,PF,"6'11""",237,12/02/1996, Deyonta  Davis,20.3969883641,Deyonta,Davis,D. DavisD. Davis
140,POR,F/C,"6'10""",245,6/05/1989, Ed  Davis,27.8904859685,Ed,Davis,E. DavisE. Davis
141,FA,F,"6'6""",225,2/01/1993, Branden  Dawson,24.2299794661,Branden,Dawson,B. DawsonB. Dawson
142,FA,F,"6'7""",255,7/07/1984, Eric  Dawson,32.8021902806,Eric,Dawson,E. DawsonE. Dawson
143,FA,SF,"6'6""",195,12/12/1993, Shawn  Dawson,23.370294319,Shawn,Dawson,S. DawsonS. Dawson
144,SA,C,"7'0""",245,8/12/1989, Dewayne  Dedmon,27.704312115,Dewayne,Dedmon,D. DedmonD. Dedmon
145,HOU,F,"6'9""",230,5/06/1994, Sam  Dekker,22.9733059548,Sam,Dekker,S. DekkerS. Dekker
146,ATL,SG,"6'3""",190,3/11/1989, Malcolm  Delaney,28.1259411362,Malcolm,Delaney,M. DelaneyM. Delaney
147,MIL,G,"6'4""",198,9/08/1990, Matthew  Dellavedova,26.6310746064,Matthew,Dellavedova,M. DellavedovaM. Dellavedova
148,LAL,F,"6'9""",220,4/16/1985, Luol  Deng,32.0273785079,Luol,Deng,L. DengL. Deng
149,TOR,G/F,"6'7""",219,8/07/1989, DeMar  DeRozan,27.7180013689,DeMar,DeRozan,D. DeRozanD. DeRozan
150,NO,PF,"6'9""",220,9/13/1996, Cheick  Diallo,20.6160164271,Cheick,Diallo,C. DialloC. Diallo
151,UTA,F/C,"6'8""",250,4/16/1982, Boris  Diaw,35.0280629706,Boris,Diaw,B. DiawB. Diaw
152,MIN,F/C,"6'11""",240,1/18/1990, Gorgui  Dieng,27.2689938398,Gorgui,Dieng,G. DiengG. Dieng
153,BKN,PG,"6'6""",200,4/06/1993, Spencer  Dinwiddie,24.0547570157,Spencer,Dinwiddie,S. DinwiddieS. Dinwiddie
154,MEM,G,"6'2""",190,3/16/1986, Toney  Douglas,31.112936345,Toney,Douglas,T. DouglasT. Douglas
155,MIA,G,"6'3""",190,5/06/1986, Goran  Dragic,30.9733059548,Goran,Dragic,G. DragicG. Dragic
156,DET,F/C,"6'11""",279,8/10/1993, Andre  Drummond,23.7097878166,Andre,Drummond,A. DrummondA. Drummond
157,PHX,F,"6'7""",235,7/10/1985, Jared  Dudley,31.794661191,Jared,Dudley,J. DudleyJ. Dudley
158,FA,SF,"6'9""",220,12/04/1991, Duje  Dukan,25.3935660507,Duje,Dukan,D. DukanD. Dukan
159,FA,F/C,"6'11""",250,4/25/1976, Tim  Duncan,41.0020533881,Tim,Duncan,T. DuncanT. Duncan
160,FA,SG,"6'6""",200,6/18/1993, Kellen  Dunham,23.8548939083,Kellen,Dunham,K. DunhamK. Dunham
161,ATL,G/F,"6'9""",220,9/15/1980, Mike  Dunleavy,36.6105407255,Mike,Dunleavy,M. DunleavyM. Dunleavy
162,MIN,G,"6'4""",205,3/18/1994, Kris  Dunn,23.1074606434,Kris,Dunn,K. DunnK. Dunn
163,GS,F,"6'9""",240,9/29/1988, Kevin  Durant,28.5722108145,Kevin,Durant,K. DurantK. Durant
164,FA,SF,"6'8""",220,4/17/1991, Cleanthony  Early,26.0260095825,Cleanthony,Early,C. EarlyC. Early
165,PHX,SG,"6'7""",218,10/30/1991, Jarell  Eddie,25.4893908282,Jarell,Eddie,J. EddieJ. Eddie
166,DET,PF,"6'11""",245,1/13/1997, Henry  Ellenson,20.2819986311,Henry,Ellenson,H. EllensonH. Ellenson
167,MIA,G/F,"6'5""",208,11/29/1987, Wayne  Ellington,29.4072553046,Wayne,Ellington,W. EllingtonW. Ellington
168,IND,G,"6'3""",185,10/26/1985, Monta  Ellis,31.498973306,Monta,Ellis,M. EllisM. Ellis
169,FA,PF,"6'8""",225,9/14/1993, Perry  Ellis,23.613963039,Perry,Ellis,P. EllisP. Ellis
170,PHI,F/C,"7'0""",250,3/16/1994, Joel  Embiid,23.112936345,Joel,Embiid,J. EmbiidJ. Embiid
171,LAL,PG,"6'3""",194,8/24/1994, Tyler  Ennis,22.6721423682,Tyler,Ennis,T. EnnisT. Ennis
172,MEM,G/F,"6'7""",210,7/01/1990, James  Ennis III,26.8199863107,James,Ennis III,J. Ennis IIIJ. Ennis III
173,FA,F,"6'9""",200,10/24/1987, Jeremy  Evans,29.5058179329,Jeremy,Evans,J. EvansJ. Evans
174,SAC,G/F,"6'6""",220,9/19/1989, Tyreke  Evans,27.6002737851,Tyreke,Evans,T. EvansT. Evans
175,UTA,G,"6'6""",207,7/13/1995, Dante  Exum,21.787816564,Dante,Exum,D. ExumD. Exum
176,POR,C,"6'11""",265,10/21/1989, Festus  Ezeli,27.5126625599,Festus,Ezeli,F. EzeliF. Ezeli
177,DEN,F/C,"6'8""",228,11/19/1989, Kenneth  Faried,27.4332648871,Kenneth,Faried,K. FariedK. Faried
178,SAC,PG,"6'2""",180,11/30/1986, Jordan  Farmar,30.4038329911,Jordan,Farmar,J. FarmarJ. Farmar
179,UTA,F/C,"6'10""",265,7/15/1991, Derrick  Favors,25.7823408624,Derrick,Favors,D. FavorsD. Favors
180,CLE,PG,"5'9""",176,3/29/1995, Kay  Felder,22.0780287474,Kay,Felder,K. FelderK. Felder
181,CHI,C,"6'9""",266,7/07/1992, Cristiano  Felicio,24.8021902806,Cristiano,Felicio,C. FelicioC. Felicio
182,LAC,G,"6'1""",205,6/26/1984, Raymond  Felton,32.8323066393,Raymond,Felton,R. FeltonR. Felton
183,FA,C,"6'10""",260,1/16/1992, Vashil  Fernandez,25.2758384668,Vashil,Fernandez,V. FernandezV. Fernandez
184,DAL,PG,"6'0""",180,5/09/1993, Yogi  Ferrell,23.9644079398,Yogi,Ferrell,Y. FerrellY. Ferrell
185,DAL,F,"6'8""",220,5/04/1993, Dorian  Finney-Smith,23.9780971937,Dorian,Finney-Smith,D. Finney-SmithD. Finney-Smith
186,SA,PG,"6'3""",190,7/23/1993, Bryn  Forbes,23.7590691307,Bryn,Forbes,B. ForbesB. Forbes
187,FA,SF,"6'8""",225,1/20/1993, Quincy  Ford,24.2628336756,Quincy,Ford,Q. FordQ. Ford
188,ORL,G/F,"6'7""",205,10/29/1992, Evan  Fournier,24.4900752909,Evan,Fournier,E. FournierE. Fournier
189,BKN,G,"6'4""",218,9/24/1983, Randy  Foye,33.5879534565,Randy,Foye,R. FoyeR. Foye
190,NO,G,"6'1""",170,11/01/1990, Tim  Frazier,26.4832306639,Tim,Frazier,T. FrazierT. Frazier
191,FA,PG,"6'2""",180,10/12/1992, Trey  Freeman,24.5366187543,Trey,Freeman,T. FreemanT. Freeman
192,CLE,F/C,"6'11""",255,5/17/1983, Channing  Frye,33.9438740589,Channing,Frye,C. FryeC. Frye
193,DEN,F,"6'10""",225,8/08/1988, Danilo  Gallinari,28.7145790554,Danilo,Gallinari,D. GallinariD. Gallinari
194,SAC,G,"6'2""",200,12/09/1991, Langston  Galloway,25.3798767967,Langston,Galloway,L. GallowayL. Galloway
195,FA,PG,"6'3""",180,2/10/1991, Ramon  Galloway,26.2067077344,Ramon,Galloway,R. GallowayR. Galloway
196,ORL,SG,"6'6""",210,5/17/1993, Patricio  Garino,23.9425051335,Patricio,Garino,P. GarinoP. Garino
197,FA,F/C,"6'11""",253,5/19/1976, Kevin  Garnett,40.9363449692,Kevin,Garnett,K. GarnettK. Garnett
198,MEM,C,"7'1""",255,1/29/1985, Marc  Gasol,32.2381930185,Marc,Gasol,M. GasolM. Gasol
199,SA,F/C,"7'0""",250,7/06/1980, Pau  Gasol,36.8049281314,Pau,Gasol,P. GasolP. Gasol
200,SAC,F,"6'8""",230,8/17/1986, Rudy  Gay,30.6913073238,Rudy,Gay,R. GayR. Gay
201,DET,SF,"6'7""",200,6/05/1992, Michael  Gbinije,24.8898015058,Michael,Gbinije,M. GbinijeM. Gbinije
202,DEN,G/F,"6'6""",219,5/29/1987, Alonzo  Gee,29.9110198494,Alonzo,Gee,A. GeeA. Gee
203,IND,F,"6'9""",220,5/02/1990, Paul  George,26.984257358,Paul,George,P. GeorgeP. George
204,ORL,SG,"6'5""",220,3/28/1994, Marcus  Georges-Hunt,23.0800821355,Marcus,Georges-Hunt,M. Georges-HuntM. Georges-Hunt
205,DAL,G,"6'2""",185,11/08/1987, Jonathan  Gibson,29.4647501711,Jonathan,Gibson,J. GibsonJ. Gibson
206,OKC,F/C,"6'9""",245,6/24/1985, Taj  Gibson,31.8384668036,Taj,Gibson,T. GibsonT. Gibson
207,SA,G/F,"6'6""",205,7/28/1977, Manu  Ginobili,39.7453798768,Manu,Ginobili,M. GinobiliM. Ginobili
208,UTA,C,"7'1""",250,6/26/1992, Rudy  Gobert,24.8323066393,Rudy,Gobert,R. GobertR. Gobert
209,FA,F/C,"6'10""",250,9/24/1981, Drew  Gooden,35.5865845311,Drew,Gooden,D. GoodenD. Gooden
210,BKN,G,"6'5""",205,8/17/1994, Archie  Goodwin,22.6913073238,Archie,Goodwin,A. GoodwinA. Goodwin
211,ORL,F,"6'9""",220,9/16/1995, Aaron  Gordon,21.6098562628,Aaron,Gordon,A. GordonA. Gordon
212,HOU,SG,"6'4""",215,12/25/1988, Eric  Gordon,28.334017796,Eric,Gordon,E. GordonE. Gordon
213,WSH,C,"6'11""",240,2/17/1984, Marcin  Gortat,33.1882272416,Marcin,Gortat,M. GortatM. Gortat
214,FA,G,"6'2""",200,12/07/1988, Andrew  Goudelock,28.3832991102,Andrew,Goudelock,A. GoudelockA. Goudelock
215,CHA,G/F,"6'5""",219,10/28/1993, Treveon  Graham,23.4934976044,Treveon,Graham,T. GrahamT. Graham
216,OKC,F,"6'8""",220,3/12/1994, Jerami  Grant,23.1238877481,Jerami,Grant,J. GrantJ. Grant
217,CHI,G,"6'4""",198,10/09/1992, Jerian  Grant,24.5448323066,Jerian,Grant,J. GrantJ. Grant
218,SA,G/F,"6'6""",210,6/22/1987, Danny  Green,29.8453114305,Danny,Green,D. GreenD. Green
219,GS,F,"6'7""",230,3/04/1990, Draymond  Green,27.1457905544,Draymond,Green,D. GreenD. Green
220,BOS,G/F,"6'7""",205,1/26/1986, Gerald  Green,31.2470910335,Gerald,Green,G. GreenG. Green
