,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,player
18,HOU,F/C,"6'10""",240,5/06/1988, Ryan  Anderson,28.9828884326,Ryan,Anderson,R. AndersonR. Anderson
19,FA,PG,"6'2""",200,5/25/1993, Andrew  Andrews,23.9315537303,Andrew,Andrews,A. AndrewsA. Andrews
20,MIL,F,"6'11""",222,12/06/1994, Giannis  Antetokounmpo,22.3983572895,Giannis,Antetokounmpo,G. AntetokounmpoG. Antetokounmpo
21,NY,F,"6'8""",240,5/29/1984, Carmelo  Anthony,32.9199178645,Carmelo,Anthony,C. AnthonyC. Anthony
22,SA,F/C,"6'9""",245,8/09/1982, Joel  Anthony,34.7241615332,Joel,Anthony,J. AnthonyJ. Anthony
23,FA,PG,"6'3""",195,3/26/1994, Ryan  Arcidiacono,23.0965092402,Ryan,Arcidiacono,R. ArcidiaconoR. Arcidiacono
24,HOU,G/F,"6'8""",215,6/30/1985, Trevor  Ariza,31.832991102,Trevor,Ariza,T. ArizaT. Ariza
25,DET,F/C,"6'9""",245,8/09/1982, Joel  Anthony,34.7241615332,Joel,Anthony,J. AnthonyJ. Anthony
26,FA,C,"6'11""",265,7/29/1982, Pero  Antic,34.7542778919,Pero,Antic,P. AnticP. Antic
27,ORL,PG,"6'1""",185,2/13/1992, Keith  Appling,25.2101300479,Keith,Appling,K. ApplingK. Appling
28,HOU,G/F,"6'8""",215,6/30/1985, Trevor  Ariza,31.832991102,Trevor,Ariza,T. ArizaT. Ariza
29,DEN,F/C,"6'9""",235,3/25/1988, Darrell  Arthur,29.0978781656,Darrell,Arthur,D. ArthurD. Arthur
30,FA,PF,"6'9""",230,7/15/1994, Brandon  Ashley,22.7926078029,Brandon,Ashley,B. AshleyB. Ashley
31,NO,F/C,"7'0""",255,7/04/1986, Omer  Asik,30.8227241615,Omer,Asik,O. AsikO. Asik
32,FA,PF,"6'8""",241,9/17/1992, Darion  Atkins,24.6160164271,Darion,Atkins,D. AtkinsD. Atkins
33,FA,PG,"6'2""",182,12/14/1991, Eric  Atkins,25.3771389459,Eric,Atkins,E. AtkinsE. Atkins
34,DEN,PG,"6'0""",183,11/10/1987, D.J.  Augustin,29.4702258727,D.J.,Augustin,D. AugustinD. Augustin
35,LAC,F/C,"6'9""",250,4/29/1987, Jeff  Ayres,30.0041067762,Jeff,Ayres,J. AyresJ. Ayres
36,FA,SG,"6'5""",225,2/14/1990, Chris  Babb,27.2060232717,Chris,Babb,C. BabbC. Babb
37,NO,SF,"6'9""",217,6/20/1989, Luke  Babbitt,27.8603696099,Luke,Babbitt,L. BabbittL. Babbitt
38,FA,C,"7'2""",254,9/06/1989, Jordan  Bachynski,27.6468172485,Jordan,Bachynski,J. BachynskiJ. Bachynski
39,DET,F/C,"6'9""",260,12/07/1990, Cameron  Bairstow,26.3956194387,Cameron,Bairstow,C. BairstowC. Bairstow
40,GS,G,"6'3""",194,11/28/1982, Leandro  Barbosa,34.4202600958,Leandro,Barbosa,L. BarbosaL. Barbosa
41,DAL,G,"6'0""",185,6/26/1984, J.J.  Barea,32.8432580424,J.J.,Barea,J. BareaJ. Barea
42,BKN,F/C,"7'0""",245,10/26/1985, Andrea  Bargnani,31.5099247091,Andrea,Bargnani,A. BargnaniA. Bargnani
43,GS,F,"6'8""",225,5/30/1992, Harrison  Barnes,24.9171800137,Harrison,Barnes,H. BarnesH. Barnes
44,MEM,G/F,"6'7""",226,3/09/1980, Matt  Barnes,37.1416837782,Matt,Barnes,M. BarnesM. Barnes
45,FA,F/C,"7'0""",250,8/14/1981, Earl  Barron,35.7097878166,Earl,Barron,E. BarronE. Barron
46,DEN,G/F,"6'6""",175,1/06/1991, Will  Barton,26.3134839151,Will,Barton,W. BartonW. Barton
47,LAL,F/C,"6'8""",250,4/30/1985, Brandon  Bass,32.0,Brandon,Bass,B. BassB. Bass
48,CHA,G/F,"6'8""",200,12/14/1988, Nicolas  Batum,28.3750855578,Nicolas,Batum,N. BatumN. Batum
49,MIL,G,"6'3""",200,8/20/1988, Jerryd  Bayless,28.6926762491,Jerryd,Bayless,J. BaylessJ. Bayless
50,DET,C,"6'10""",260,12/09/1986, Aron  Baynes,30.3901437372,Aron,Baynes,A. BaynesA. Baynes
51,ATL,G/F,"6'5""",201,7/01/1989, Kent  Bazemore,27.8302532512,Kent,Bazemore,K. BazemoreK. Bazemore
52,WSH,SG,"6'5""",207,6/28/1993, Bradley  Beal,23.8384668036,Bradley,Beal,B. BealB. Beal
53,HOU,F,"6'10""",235,1/09/1989, Michael  Beasley,28.3039014374,Michael,Beasley,M. BeasleyM. Beasley
54,FA,C,"7'3""",260,7/09/1985, Mirza  Begic,31.8083504449,Mirza,Begic,M. BegicM. Begic
55,SAC,G/F,"6'5""",215,3/25/1986, Marco  Belinelli,31.099247091,Marco,Belinelli,M. BelinelliM. Belinelli
56,TOR,F,"6'8""",245,3/14/1993, Anthony  Bennett,24.128678987,Anthony,Bennett,A. BennettA. Bennett
57,FA,C,"6'11""",230,8/13/1988, Keith  Benson,28.7118412047,Keith,Benson,K. BensonK. Benson
58,HOU,G,"6'1""",185,7/12/1988, Patrick  Beverley,28.7994524298,Patrick,Beverley,P. BeverleyP. Beverley
59,TOR,F/C,"6'9""",255,8/28/1992, Bismack  Biyombo,24.6707734428,Bismack,Biyombo,B. BiyomboB. Biyombo
60,MIN,PF,"6'10""",234,5/09/1988, Nemanja  Bjelica,28.9746748802,Nemanja,Bjelica,N. BjelicaN. Bjelica
61,LAL,F/C,"6'9""",250,11/22/1991, Tarik  Black,25.4373716632,Tarik,Black,T. BlackT. Black
62,PHX,F/C,"6'7""",260,4/22/1989, DeJuan  Blair,28.0219028063,DeJuan,Blair,D. BlairD. Blair
63,DET,G,"6'3""",175,2/26/1980, Steve  Blake,37.1745379877,Steve,Blake,S. BlakeS. Blake
64,PHX,G,"6'1""",190,12/09/1989, Eric  Bledsoe,27.3894592745,Eric,Bledsoe,E. BledsoeE. Bledsoe
65,FA,PG,"6'5""",200,7/17/1992, Vander  Blue,24.7857631759,Vander,Blue,V. BlueV. Blue
66,FA,PG,"6'0""",175,12/27/1992, Ryan  Boatright,24.3394934976,Ryan,Boatright,R. BoatrightR. Boatright
67,BKN,G/F,"6'8""",216,4/18/1989, Bojan  Bogdanovic,28.0328542094,Bojan,Bogdanovic,B. BogdanovicB. Bogdanovic
68,GS,C,"7'0""",260,11/28/1984, Andrew  Bogut,32.4188911704,Andrew,Bogut,A. BogutA. Bogut
69,SA,F/C,"6'10""",235,4/05/1980, Matt  Bonner,37.067761807,Matt,Bonner,M. BonnerM. Bonner
70,PHX,SG,"6'6""",206,10/30/1996, Devin  Booker,20.4982888433,Devin,Booker,D. BookerD. Booker
71,UTA,PF,"6'8""",230,11/25/1987, Trevor  Booker,29.4291581109,Trevor,Booker,T. BookerT. Booker
72,FA,F/C,"6'9""",258,11/20/1981, Carlos  Boozer,35.4414784394,Carlos,Boozer,C. BoozerC. Boozer
73,MIA,F/C,"6'11""",235,3/24/1984, Chris  Bosh,33.1006160164,Chris,Bosh,C. BoshC. Bosh
74,BOS,G,"6'2""",180,11/26/1990, Avery  Bradley,26.4257357974,Avery,Bradley,A. BradleyA. Bradley
75,PHI,F/C,"6'9""",254,3/11/1979, Elton  Brand,38.1382614648,Elton,Brand,E. BrandE. Brand
76,HOU,G/F,"6'9""",186,3/05/1986, Corey  Brewer,31.1540041068,Corey,Brewer,C. BrewerC. Brewer
77,CHI,PG,"6'0""",185,1/14/1985, Aaron  Brooks,32.2902121834,Aaron,Brooks,A. BrooksA. Brooks
78,LAL,SF,"6'5""",210,10/10/1992, Anthony  Brown,24.553045859,Anthony,Brown,A. BrownA. Brown
79,FA,SG,"6'5""",215,12/18/1992, Jabari  Brown,24.3641341547,Jabari,Brown,J. BrownJ. Brown
80,DET,PG,"6'5""",186,8/26/1990, Lorenzo  Brown,26.6776180698,Lorenzo,Brown,L. BrownL. Brown
81,BKN,SG,"6'3""",185,1/29/1992, Markel  Brown,25.2511978097,Markel,Brown,M. BrownM. Brown
82,LAL,G/F,"6'6""",212,8/23/1978, Kobe  Bryant,38.6858316222,Kobe,Bryant,K. BryantK. Bryant
83,PHX,G/F,"6'7""",209,5/22/1988, Chase  Budinger,28.93908282,Chase,Budinger,C. BudingerC. Budinger
84,DET,G/F,"6'7""",205,3/16/1991, Reggie  Bullock,26.1245722108,Reggie,Bullock,R. BullockR. Bullock
85,UTA,PG,"6'1""",185,11/12/1992, Trey  Burke,24.462696783,Trey,Burke,T. BurkeT. Burke
86,UTA,G,"6'6""",211,7/20/1991, Alec  Burks,25.7796030116,Alec,Burks,A. BurksA. Burks
87,FA,PG,"6'1""",190,7/26/1991, Deonte  Burton,25.7631759069,Deonte,Burton,D. BurtonD. Burton
88,SAC,SF,"6'7""",217,3/13/1980, Caron  Butler,37.1307323751,Caron,Butler,C. ButlerC. Butler
89,CHI,G/F,"6'7""",230,9/14/1989, Jimmy  Butler,27.6249144422,Jimmy,Butler,J. ButlerJ. Butler
90,SA,G/F,"6'7""",205,5/23/1979, Rasual  Butler,37.9383983573,Rasual,Butler,R. ButlerR. Butler
91,FA,PG,"6'0""",185,1/04/1983, Will  Bynum,34.3189596167,Will,Bynum,W. BynumW. Bynum
92,TOR,SF,"6'9""",218,9/21/1995, Bruno  Caboclo,21.607118412,Bruno,Caboclo,B. CabocloB. Caboclo
93,FA,G,"6'6""",213,2/07/1989, Nick  Calathes,28.2245037645,Nick,Calathes,N. CalathesN. Calathes
94,NY,PG,"6'3""",210,9/28/1981, Jose  Calderon,35.5865845311,Jose,Calderon,J. CalderonJ. Calderon
95,DET,SG,"6'5""",205,2/18/1993, Kentavious  Caldwell-Pope,24.1943874059,Kentavious,Caldwell-Pope,K. Caldwell-PopeK. Caldwell-Pope
96,PHI,PG,"6'0""",201,5/21/1991, Isaiah  Canaan,25.9438740589,Isaiah,Canaan,I. CanaanI. Canaan
97,HOU,F/C,"6'10""",240,5/18/1994, Clint  Capela,22.9514031485,Clint,Capela,C. CapelaC. Capela
98,TOR,F,"6'8""",215,7/27/1986, DeMarre  Carroll,30.7597535934,DeMarre,Carroll,D. CarrollD. Carroll
99,FA,PF,"6'8""",220,9/11/1990, Sampson  Carter,26.6338124572,Sampson,Carter,S. CarterS. Carter
100,MEM,G/F,"6'6""",220,1/26/1977, Vince  Carter,40.257357974,Vince,Carter,V. CarterV. Carter
101,MIL,PG,"6'6""",190,10/10/1991, Michael  Carter-Williams,25.5550992471,Michael,Carter-Williams,M. Carter-WilliamsM. Carter-Williams
102,FA,PF,"6'7""",225,11/27/1989, Kyle  Casey,27.4223134839,Kyle,Casey,K. CaseyK. Casey
103,SAC,F,"6'9""",225,6/22/1988, Omri  Casspi,28.8542094456,Omri,Casspi,O. CasspiO. Casspi
104,SAC,F/C,"7'0""",240,8/18/1993, Willie  Cauley-Stein,23.6988364134,Willie,Cauley-Stein,W. Cauley-SteinW. Cauley-Stein
105,MEM,G,"6'2""",190,5/19/1986, Mario  Chalmers,30.9486652977,Mario,Chalmers,M. ChalmersM. Chalmers
106,PHX,C,"7'1""",240,10/02/1982, Tyson  Chandler,34.5763175907,Tyson,Chandler,T. ChandlerT. Chandler
107,DEN,G/F,"6'8""",225,5/10/1987, Wilson  Chandler,29.9739904175,Wilson,Chandler,W. ChandlerW. Chandler
108,FA,G,"6'5""",212,9/15/1986, Dionte  Christmas,30.6228610541,Dionte,Christmas,D. ChristmasD. Christmas
109,IND,PF,"6'9""",250,12/01/1991, Rakeem  Christmas,25.4127310062,Rakeem,Christmas,R. ChristmasR. Christmas
110,FA,F,"6'10""",234,1/17/1988, Earl  Clark,29.2840520192,Earl,Clark,E. ClarkE. Clark
111,GS,G,"6'3""",175,3/07/1991, Ian  Clark,26.1492128679,Ian,Clark,I. ClarkI. Clark
112,BOS,SF,"6'7""",225,7/04/1992, Coty  Clarke,24.8213552361,Coty,Clarke,C. ClarkeC. Clarke
113,LAL,G,"6'5""",185,6/07/1992, Jordan  Clarkson,24.8952772074,Jordan,Clarkson,J. ClarksonJ. Clarkson
114,FA,SF,"6'8""",230,8/09/1992, Michael  Cobbins,24.7227926078,Michael,Cobbins,M. CobbinsM. Cobbins
115,NO,G,"6'2""",175,10/13/1988, Norris  Cole,28.5448323066,Norris,Cole,N. ColeN. Cole
116,SAC,PG,"6'0""",175,8/23/1987, Darren  Collison,29.6865160849,Darren,Collison,D. CollisonD. Collison
117,OKC,F/C,"6'10""",255,10/26/1980, Nick  Collison,36.5092402464,Nick,Collison,N. CollisonN. Collison
118,MEM,PG,"6'1""",175,10/11/1987, Mike  Conley,29.5523613963,Mike,Conley,M. ConleyM. Conley
119,POR,G/F,"6'5""",210,1/06/1993, Pat  Connaughton,24.3121149897,Pat,Connaughton,P. ConnaughtonP. Connaughton
120,FA,PG,"6'2""",185,3/23/1993, Quinn  Cook,24.1040383299,Quinn,Cook,Q. CookQ. Cook
121,FA,F/C,"6'10""",246,4/04/1991, Jack  Cooley,26.0725530459,Jack,Cooley,J. CooleyJ. Cooley
122,ORL,F,"6'8""",230,3/17/1984, Chris  Copeland,33.1197809719,Chris,Copeland,C. CopelandC. Copeland
123,MEM,PG,"6'1""",165,8/11/1992, Bryce  Cotton,24.7173169062,Bryce,Cotton,B. CottonB. Cotton
124,SAC,F/C,"6'11""",270,8/13/1990, DeMarcus  Cousins,26.71321013,DeMarcus,Cousins,D. CousinsD. Cousins
125,PHI,F,"6'9""",215,12/14/1990, Robert  Covington,26.3764544832,Robert,Covington,R. CovingtonR. Covington
126,POR,G,"6'6""",215,4/09/1992, Allen  Crabbe,25.0568104038,Allen,Crabbe,A. CrabbeA. Crabbe
127,LAC,G/F,"6'5""",200,3/20/1980, Jamal  Crawford,37.1115674196,Jamal,Crawford,J. CrawfordJ. Crawford
128,FA,G,"6'4""",195,10/23/1988, Jordan  Crawford,28.5174537988,Jordan,Crawford,J. CrawfordJ. Crawford
129,BOS,F,"6'6""",235,7/06/1990, Jae  Crowder,26.81724846,Jae,Crowder,J. CrowderJ. Crowder
130,FA,PG,"6'2""",175,10/07/1992, Will  Cummings,24.5612594114,Will,Cummings,W. CummingsW. Cummings
131,NO,F,"6'8""",221,4/22/1987, Dante  Cunningham,30.0232717317,Dante,Cunningham,D. CunninghamD. Cunningham
132,MIL,G,"6'4""",195,5/22/1991, Jared  Cunningham,25.9411362081,Jared,Cunningham,J. CunninghamJ. Cunningham
133,SAC,PG,"6'2""",185,8/23/1990, Seth  Curry,26.6858316222,Seth,Curry,S. CurryS. Curry
134,GS,G,"6'3""",190,3/14/1988, Stephen  Curry,29.1279945243,Stephen,Curry,S. CurryS. Curry
135,FA,C,"6'11""",250,5/10/1981, Samuel  Dalembert,35.9726214921,Samuel,Dalembert,S. DalembertS. Dalembert
136,FA,C,"6'9""",265,4/19/1984, Chris  Daniels,33.029431896,Chris,Daniels,C. DanielsC. Daniels
137,CHA,PG,"6'4""",204,7/15/1991, Troy  Daniels,25.7932922656,Troy,Daniels,T. DanielsT. Daniels
138,FA,G/F,"6'8""",215,11/27/1987, Luigi  Datome,29.4236824093,Luigi,Datome,L. DatomeL. Datome
139,NO,F/C,"6'10""",220,3/11/1993, Anthony  Davis,24.1368925394,Anthony,Davis,A. DavisA. Davis
140,POR,F/C,"6'10""",225,6/05/1989, Ed  Davis,27.9014373717,Ed,Davis,E. DavisE. Davis
141,FA,F/C,"6'9""",289,1/01/1986, Glen  Davis,31.3264887064,Glen,Davis,G. DavisG. Davis
142,LAC,F,"6'6""",225,2/01/1993, Branden  Dawson,24.2409308693,Branden,Dawson,B. DawsonB. Dawson
143,FA,F,"6'11""",220,6/05/1988, Austin  Daye,28.900752909,Austin,Daye,A. DayeA. Daye
144,ORL,C,"7'0""",245,8/12/1989, Dewayne  Dedmon,27.7152635181,Dewayne,Dedmon,D. DedmonD. Dedmon
145,NO,G,"6'5""",210,8/21/1992, Bryce  Dejean-Jones,24.6899383984,Bryce,Dejean-Jones,B. Dejean-JonesB. Dejean-Jones
146,HOU,SF,"6'9""",230,5/06/1994, Sam  Dekker,22.984257358,Sam,Dekker,S. DekkerS. Dekker
147,CLE,G,"6'4""",200,9/08/1990, Matthew  Dellavedova,26.6420260096,Matthew,Dellavedova,M. DellavedovaM. Dellavedova
148,MIA,F,"6'9""",220,4/16/1985, Luol  Deng,32.038329911,Luol,Deng,L. DengL. Deng
149,TOR,G/F,"6'7""",221,8/07/1989, DeMar  DeRozan,27.7289527721,DeMar,DeRozan,D. DeRozanD. DeRozan
150,SA,F/C,"6'8""",250,4/16/1982, Boris  Diaw,35.0390143737,Boris,Diaw,B. DiawB. Diaw
151,FA,G/F,"6'7""",225,8/29/1982, Yakhouba  Diawara,34.6694045175,Yakhouba,Diawara,Y. DiawaraY. Diawara
152,MIN,F/C,"6'11""",233,1/18/1990, Gorgui  Dieng,27.279945243,Gorgui,Dieng,G. DiengG. Dieng
153,FA,SF,"6'8""",220,4/07/1993, Dani  Diez,24.0629705681,Dani,Diez,D. DiezD. Diez
154,CHI,PG,"6'6""",200,4/06/1993, Spencer  Dinwiddie,24.0657084189,Spencer,Dinwiddie,S. DinwiddieS. Dinwiddie
155,FA,F/C,"6'8""",268,12/16/1983, Joey  Dorsey,33.3716632444,Joey,Dorsey,J. DorseyJ. Dorsey
156,NO,G,"6'2""",190,3/16/1986, Toney  Douglas,31.1238877481,Toney,Douglas,T. DouglasT. Douglas
157,FA,G/F,"6'7""",210,1/08/1987, Chris  Douglas-Roberts,30.3080082136,Chris,Douglas-Roberts,C. Douglas-RobertsC. Douglas-Roberts
158,MIA,G,"6'3""",190,5/06/1986, Goran  Dragic,30.984257358,Goran,Dragic,G. DragicG. Dragic
159,FA,SG,"6'5""",200,6/22/1989, Zoran  Dragic,27.8548939083,Zoran,Dragic,Z. DragicZ. Dragic
160,DET,F/C,"6'11""",279,8/10/1993, Andre  Drummond,23.7207392197,Andre,Drummond,A. DrummondA. Drummond
161,WSH,G/F,"6'7""",225,7/10/1985, Jared  Dudley,31.8056125941,Jared,Dudley,J. DudleyJ. Dudley
162,SAC,SF,"6'9""",220,12/04/1991, Duje  Dukan,25.4045174538,Duje,Dukan,D. DukanD. Dukan
163,SA,F/C,"6'11""",250,4/25/1976, Tim  Duncan,41.0130047912,Tim,Duncan,T. DuncanT. Duncan
164,FA,C,"6'10""",245,7/02/1989, Michael  Dunigan,27.8275154004,Michael,Dunigan,M. DuniganM. Dunigan
165,CHI,G/F,"6'9""",220,9/15/1980, Mike  Dunleavy,36.6214921287,Mike,Dunleavy,M. DunleavyM. Dunleavy
166,OKC,F,"6'9""",240,9/29/1988, Kevin  Durant,28.5831622177,Kevin,Durant,K. DurantK. Durant
167,NY,SF,"6'8""",220,4/17/1991, Cleanthony  Early,26.0369609856,Cleanthony,Early,C. EarlyC. Early
168,WSH,SG,"6'7""",218,10/30/1991, Jarell  Eddie,25.5003422313,Jarell,Eddie,J. EddieJ. Eddie
169,FA,C,"6'11""",250,10/22/1992, Nnanna  Egwu,24.5201916496,Nnanna,Egwu,N. EgwuN. Egwu
170,FA,PF,"6'6""",220,3/04/1991, Melvin  Ejim,26.1574264203,Melvin,Ejim,M. EjimM. Ejim
171,BKN,SG,"6'4""",200,11/29/1987, Wayne  Ellington,29.4182067077,Wayne,Ellington,W. EllingtonW. Ellington
172,IND,G,"6'3""",185,10/26/1985, Monta  Ellis,31.5099247091,Monta,Ellis,M. EllisM. Ellis
173,PHI,C,"7'0""",250,3/16/1994, Joel  Embiid,23.1238877481,Joel,Embiid,J. EmbiidJ. Embiid
174,NO,G/F,"6'7""",210,7/01/1990, James  Ennis,26.8309377139,James,Ennis,J. EnnisJ. Ennis
175,MIL,PG,"6'0""",175,8/24/1994, Tyler  Ennis,22.6830937714,Tyler,Ennis,T. EnnisT. Ennis
176,FA,SG,"6'7""",178,12/05/1993, Marcus  Eriksson,23.4004106776,Marcus,Eriksson,M. ErikssonM. Eriksson
177,DAL,F,"6'9""",200,10/24/1987, Jeremy  Evans,29.5167693361,Jeremy,Evans,J. EvansJ. Evans
178,FA,F/C,"6'8""",245,5/18/1980, Reggie  Evans,36.9500342231,Reggie,Evans,R. EvansR. Evans
179,NO,G,"6'6""",220,9/19/1989, Tyreke  Evans,27.6112251882,Tyreke,Evans,T. EvansT. Evans
180,UTA,PG,"6'6""",190,7/13/1995, Dante  Exum,21.7987679671,Dante,Exum,D. ExumD. Exum
181,GS,C,"6'11""",265,10/21/1989, Festus  Ezeli,27.523613963,Festus,Ezeli,F. EzeliF. Ezeli
182,FA,PF,"6'8""",215,9/13/1991, C.J.  Fair,25.6290212183,C.J.,Fair,C. FairC. Fair
183,FA,F/C,"6'11""",240,7/16/1988, Jarrid  Famous,28.7885010267,Jarrid,Famous,J. FamousJ. Famous
184,DEN,F/C,"6'8""",228,11/19/1989, Kenneth  Faried,27.4442162902,Kenneth,Faried,K. FariedK. Faried
185,MEM,PG,"6'2""",180,11/30/1986, Jordan  Farmar,30.4147843943,Jordan,Farmar,J. FarmarJ. Farmar
186,UTA,F/C,"6'10""",262,7/15/1991, Derrick  Favors,25.7932922656,Derrick,Favors,D. FavorsD. Favors
187,CHI,C,"6'9""",270,7/07/1992, Cristiano  Felicio,24.8131416838,Cristiano,Felicio,C. FelicioC. Felicio
188,DAL,G,"6'1""",205,6/26/1984, Raymond  Felton,32.8432580424,Raymond,Felton,R. FeltonR. Felton
189,FA,G/F,"6'7""",215,6/27/1988, Landry  Fields,28.8405201916,Landry,Fields,L. FieldsL. Fields
190,ORL,G/F,"6'7""",205,10/29/1992, Evan  Fournier,24.501026694,Evan,Fournier,E. FournierE. Fournier
191,OKC,G,"6'4""",213,9/24/1983, Randy  Foye,33.5989048597,Randy,Foye,R. FoyeR. Foye
192,FA,G/F,"6'5""",191,7/21/1991, Jamaal  Franklin,25.7768651608,Jamaal,Franklin,J. FranklinJ. Franklin
193,NO,PG,"6'1""",180,11/01/1990, Tim  Frazier,26.4941820671,Tim,Frazier,T. FrazierT. Frazier
194,FA,SG,"6'4""",195,3/08/1994, Michael  Frazier II,23.1457905544,Michael,Frazier II,M. Frazier IIM. Frazier II
195,NY,G,"6'2""",195,2/25/1989, Jimmer  Fredette,28.1752224504,Jimmer,Fredette,J. FredetteJ. Fredette
196,FA,F/C,"6'11""",255,2/07/1987, Joel  Freeland,30.2258726899,Joel,Freeland,J. FreelandJ. Freeland
197,CLE,F/C,"6'11""",255,5/17/1983, Channing  Frye,33.954825462,Channing,Frye,C. FryeC. Frye
198,DEN,SF,"6'10""",225,8/08/1988, Danilo  Gallinari,28.7255304586,Danilo,Gallinari,D. GallinariD. Gallinari
199,NY,G,"6'2""",200,12/09/1991, Langston  Galloway,25.3908281999,Langston,Galloway,L. GallowayL. Galloway
200,MIN,F/C,"6'11""",253,5/19/1976, Kevin  Garnett,40.9472963723,Kevin,Garnett,K. GarnettK. Garnett
201,MEM,C,"7'1""",265,1/29/1985, Marc  Gasol,32.2491444216,Marc,Gasol,M. GasolM. Gasol
202,CHI,F/C,"7'0""",250,7/06/1980, Pau  Gasol,36.8158795346,Pau,Gasol,P. GasolP. Gasol
203,SAC,F,"6'8""",230,8/17/1986, Rudy  Gay,30.7022587269,Rudy,Gay,R. GayR. Gay
204,NO,G/F,"6'6""",219,5/29/1987, Alonzo  Gee,29.9219712526,Alonzo,Gee,A. GeeA. Gee
205,IND,F,"6'9""",225,5/02/1990, Paul  George,26.9952087611,Paul,George,P. GeorgeP. George
206,CHI,F/C,"6'9""",235,6/24/1985, Taj  Gibson,31.8494182067,Taj,Gibson,T. GibsonT. Gibson
207,SA,G/F,"6'6""",205,7/28/1977, Manu  Ginobili,39.7563312799,Manu,Ginobili,M. GinobiliM. Ginobili
208,UTA,C,"7'1""",245,6/26/1992, Rudy  Gobert,24.8432580424,Rudy,Gobert,R. GobertR. Gobert
209,WSH,F/C,"6'10""",250,9/24/1981, Drew  Gooden,35.5975359343,Drew,Gooden,D. GoodenD. Gooden
210,PHX,G,"6'5""",200,8/17/1994, Archie  Goodwin,22.7022587269,Archie,Goodwin,A. GoodwinA. Goodwin
211,ORL,F,"6'9""",220,9/16/1995, Aaron  Gordon,21.620807666,Aaron,Gordon,A. GordonA. Gordon
212,FA,SG,"6'3""",205,4/04/1983, Ben  Gordon,34.0725530459,Ben,Gordon,B. GordonB. Gordon
213,NO,SG,"6'4""",215,12/25/1988, Eric  Gordon,28.3449691992,Eric,Gordon,E. GordonE. Gordon
214,WSH,C,"6'11""",240,2/17/1984, Marcin  Gortat,33.1991786448,Marcin,Gortat,M. GortatM. Gortat
215,HOU,G,"6'2""",200,12/07/1988, Andrew  Goudelock,28.3942505133,Andrew,Goudelock,A. GoudelockA. Goudelock
216,FA,SG,"6'6""",219,10/28/1993, Treveon  Graham,23.5044490075,Treveon,Graham,T. GrahamT. Graham
217,FA,SF,"6'9""",222,4/20/1983, Danny  Granger,34.0287474333,Danny,Granger,D. GrangerD. Granger
218,PHI,F,"6'8""",210,3/12/1994, Jerami  Grant,23.1348391513,Jerami,Grant,J. GrantJ. Grant
219,NY,G,"6'4""",198,10/09/1992, Jerian  Grant,24.5557837098,Jerian,Grant,J. GrantJ. Grant
220,SA,G/F,"6'6""",215,6/22/1987, Danny  Green,29.8562628337,Danny,Green,D. GreenD. Green
221,GS,F,"6'7""",230,3/04/1990, Draymond  Green,27.1567419576,Draymond,Green,D. GreenD. Green
